model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 3 Series,2013,7495,Manual,83000,Diesel,30,62.8,2.0,BMW,44535
 Q5,2015,22750,Semi-Auto,27390,Petrol,240,37.7,2.0,Audi,10808
 2 Series,2019,21980,Automatic,5913,Hybrid,135,148.7,1.5,BMW,40316
 E Class,2019,55499,Semi-Auto,2991,Petrol,145,31.7,3.0,Mercedes,43034
 Passat,2015,14790,Semi-Auto,58000,Diesel,30,61.4,2.0,VW,33401
 C Class,2019,29000,Semi-Auto,4998,Petrol,145,44.1,2.0,Mercedes,18423
 Polo,2019,19489,Semi-Auto,9053,Petrol,150,39.8,2.0,VW,46511
 A Class,2019,24980,Semi-Auto,9,Petrol,145,53.3,1.3,Mercedes,8082
 1 Series,2017,13975,Automatic,20206,Diesel,0,74.3,2.0,BMW,25929
 X1,2013,9999,Automatic,53540,Diesel,160,52.3,2.0,BMW,17608
 A1,2015,10499,Manual,57179,Petrol,30,56.5,1.4,Audi,14757
 4 Series,2019,24980,Semi-Auto,1652,Diesel,145,65.7,2.0,BMW,34747
 TT,2017,17998,Semi-Auto,29109,Petrol,160,43.5,2.0,Audi,20427
 Golf,2017,16500,Manual,14685,Petrol,150,55.4,1.5,VW,37372
 A3,2017,18500,Manual,15197,Petrol,145,54.3,1.5,Audi,27107
 Golf,2017,21995,Semi-Auto,23751,Petrol,200,39.8,2.0,VW,41730
 A5,2018,33500,Automatic,9102,Diesel,145,51.4,3.0,Audi,21543
 A1,2016,14995,Manual,13961,Petrol,30,58.9,1.4,Audi,9812
 4 Series,2019,35000,Automatic,110,Diesel,145,65.7,2.0,BMW,6078
 Q5,2019,33850,Semi-Auto,8297,Diesel,145,38.2,2.0,Audi,39052
 T-Roc,2019,26000,Automatic,1000,Diesel,145,49.6,2.0,VW,36138
 Arteon,2019,21982,Semi-Auto,8861,Petrol,145,40.4,1.5,VW,25397
 GLA Class,2019,23299,Semi-Auto,11339,Diesel,145,67.3,2.1,Mercedes,15637
 TT,2019,32888,Automatic,4550,Petrol,145,37.2,2.0,Audi,13346
 E Class,2019,37299,Semi-Auto,14031,Diesel,145,48.7,3.0,Mercedes,14188
 Q3,2018,18981,Manual,18280,Petrol,145,51.4,1.4,Audi,24187
 X1,2016,18988,Automatic,38635,Diesel,145,55.4,2.0,BMW,41342
 GLC Class,2018,25500,Automatic,11119,Diesel,150,56.5,2.1,Mercedes,46520
 A3,2016,17900,Manual,35000,Petrol,30,56.5,1.4,Audi,25365
 GLE Class,2018,39998,Semi-Auto,15711,Diesel,145,39.2,3.0,Mercedes,24588
 Passat,2020,20998,Semi-Auto,15,Diesel,145,49.6,1.6,VW,22450
 A4,2018,17600,Semi-Auto,63876,Diesel,150,65.7,2.0,Audi,17034
 Tiguan,2016,15995,Manual,31000,Diesel,125,58.9,2.0,VW,35288
 Passat,2016,15995,Manual,46780,Diesel,125,54.3,2.0,VW,20229
 A1,2020,24000,Semi-Auto,4500,Petrol,145,44.8,1.5,Audi,15143
 A1,2013,8990,Manual,70000,Diesel,0,74.3,1.6,Audi,37573
 Up,2015,7995,Manual,34398,Petrol,20,61.4,1.0,VW,25257
 A Class,2014,19985,Automatic,33620,Petrol,205,40.9,2.0,Mercedes,11399
 A5,2016,21995,Automatic,15901,Petrol,165,45.6,2.0,Audi,44398
 Q2,2017,18990,Manual,21950,Petrol,150,50.4,1.4,Audi,28810
 Golf,2019,18490,Semi-Auto,9825,Petrol,145,47.1,1.5,VW,41851
 Q2,2017,18995,Manual,22492,Petrol,145,50.4,1.4,Audi,11247
 A5,2016,17695,Automatic,53000,Diesel,145,56.5,2.0,Audi,23348
 CLS Class,2014,19998,Semi-Auto,25696,Diesel,165,52.3,3.0,Mercedes,40364
 Tiguan,2015,11250,Manual,31375,Diesel,150,53.3,2.0,VW,40638
 Touareg,2019,44495,Automatic,385,Other,145,25.5,3.0,VW,39296
 Q3,2019,26990,Manual,3000,Petrol,145,39.8,1.5,Audi,9204
 3 Series,2013,9174,Automatic,79144,Diesel,30,62.8,2.0,BMW,24433
 Tiguan,2019,31995,Automatic,3441,Diesel,145,31.4,2.0,VW,1745
 5 Series,2019,32102,Semi-Auto,11878,Diesel,145,60.1,3.0,BMW,45792
 A1,2016,12995,Manual,36276,Petrol,30,55.4,1.4,Audi,24904
 Q5,2019,31000,Automatic,10250,Diesel,145,38.2,2.0,Audi,21216
 A3,2019,22500,Automatic,14924,Petrol,145,42.2,1.5,Audi,38965
 A Class,2016,14250,Manual,54446,Diesel,20,68.9,1.5,Mercedes,17912
 CL Class,2019,25240,Automatic,14049,Diesel,145,51.4,2.2,Mercedes,23477
 E Class,2016,17950,Automatic,30264,Diesel,20,72.4,2.0,Mercedes,19250
 5 Series,2016,13990,Automatic,37000,Diesel,30,62.8,2.0,BMW,16198
 Polo,2019,13485,Manual,3004,Petrol,145,48.7,1.0,VW,20184
 3 Series,2018,22875,Semi-Auto,8973,Petrol,145,47.9,2.0,BMW,3156
 T-Roc,2018,20998,Manual,16735,Petrol,145,53.3,1.5,VW,24103
 Q5,2019,31998,Semi-Auto,21,Petrol,145,33.2,2.0,Audi,46130
 A3,2020,29000,Semi-Auto,352,Diesel,145,50.4,2.0,Audi,36731
 Golf SV,2018,15999,Manual,8668,Petrol,150,55.4,1.5,VW,20608
 CL Class,2014,24490,Semi-Auto,26886,Petrol,200,39.8,2.0,Mercedes,45324
 A5,2016,16000,Manual,51410,Diesel,125,57.6,2.0,Audi,6211
 Sharan,2019,26990,Semi-Auto,11512,Diesel,145,40.9,2.0,VW,14249
 1 Series,2016,19790,Semi-Auto,15921,Petrol,235,37.7,3.0,BMW,29874
 A1,2017,10700,Manual,59973,Petrol,145,67.3,1.0,Audi,45746
 Sharan,2019,22798,Manual,14453,Diesel,145,43.5,2.0,VW,661
 T-Roc,2019,21699,Manual,13637,Diesel,145,46.3,2.0,VW,13170
 CL Class,2015,16600,Manual,34336,Petrol,145,48.7,1.6,Mercedes,7403
 C Class,2016,14770,Semi-Auto,21745,Petrol,125,53.3,2.0,Mercedes,19446
 C Class,2017,18270,Semi-Auto,49783,Diesel,30,64.2,2.1,Mercedes,19105
 Tiguan,2019,26191,Automatic,2354,Diesel,145,40.4,2.0,VW,16152
 E Class,2020,35990,Semi-Auto,4025,Diesel,145,53.3,2.0,Mercedes,38119
 A4,2015,15499,Manual,38573,Diesel,125,57.6,2.0,Audi,2739
 Touran,2019,21990,Semi-Auto,7852,Diesel,145,49.6,1.6,VW,8213
 A5,2019,33990,Automatic,5000,Diesel,145,50.4,2.0,Audi,11709
 T-Roc,2020,24495,Manual,1955,Diesel,150,50.4,2.0,VW,654
 3 Series,2015,14995,Semi-Auto,40781,Diesel,125,61.4,2.0,BMW,21700
 Golf,2015,16995,Manual,14000,Diesel,20,67.3,2.0,VW,19695
 GLA Class,2016,18149,Semi-Auto,18810,Diesel,30,64.2,2.1,Mercedes,8321
 Q3,2015,17000,Semi-Auto,43740,Petrol,145,47.9,1.4,Audi,24596
 Golf,2015,18795,Manual,34231,Petrol,200,39.8,2.0,VW,41939
 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3.0,BMW,30028
 Polo,2017,10495,Manual,13650,Petrol,145,60.1,1.0,VW,26403
 1 Series,2013,9490,Automatic,63000,Diesel,160,51.4,2.0,BMW,44912
 Up,2014,5498,Manual,39472,Petrol,20,60.1,1.0,VW,1639
 GLC Class,2020,47459,Semi-Auto,1000,Petrol,145,26.4,3.0,Mercedes,24176
 Polo,2019,14691,Manual,2987,Petrol,145,52.3,1.0,VW,18651
 C Class,2002,2140,Automatic,52700,Petrol,325,31.4,2.0,Mercedes,4170
 Golf,2015,8799,Manual,42000,Diesel,0,74.3,1.6,VW,38179
 Polo,2017,10177,Manual,17580,Petrol,145,60.1,1.2,VW,22824
 Golf,2018,12999,Manual,25640,Diesel,145,61.4,1.6,VW,33854
 GLC Class,2017,26989,Automatic,28037,Diesel,125,56.5,2.1,Mercedes,20950
 Up,2014,5700,Manual,19484,Petrol,20,62.8,1.0,VW,3968
 Golf,2018,12991,Manual,33695,Diesel,145,61.4,1.6,VW,40862
 3 Series,2017,20500,Automatic,28580,Diesel,145,51.4,3.0,BMW,1914
 A4,2016,17490,Semi-Auto,52121,Diesel,30,61.4,2.0,Audi,19016
 C Class,2019,28989,Automatic,1409,Diesel,145,57.7,2.0,Mercedes,22676
 A3,2012,9999,Automatic,84332,Petrol,125,50.4,1.8,Audi,8871
 A6,2017,16990,Semi-Auto,29300,Diesel,30,64.2,2.0,Audi,33329
 GLC Class,2016,14331,Semi-Auto,53818,Diesel,125,56.5,2.1,Mercedes,19301
 Q2,2017,15529,Manual,50841,Diesel,145,64.2,1.6,Audi,14451
 A5,2018,23000,Manual,22351,Petrol,150,47.1,2.0,Audi,39987
 A Class,2019,26980,Semi-Auto,1987,Petrol,145,47.9,1.3,Mercedes,9745
 Q3,2019,25950,Manual,5000,Diesel,145,42.8,2.0,Audi,349
 Up,2013,3995,Manual,76000,Petrol,0,68.9,1.0,VW,38335
 Tiguan,2014,11495,Semi-Auto,33064,Diesel,200,47.7,2.0,VW,29005
 GLA Class,2017,18991,Semi-Auto,23437,Diesel,145,56.5,2.1,Mercedes,46232
 Tiguan,2019,29999,Semi-Auto,669,Diesel,145,39.8,2.0,VW,13293
 1 Series,2018,12499,Manual,26146,Diesel,145,78.5,1.5,BMW,332
 E Class,2017,21500,Automatic,25000,Diesel,150,61.4,2.0,Mercedes,12073
 Passat,2018,17395,Manual,15000,Petrol,145,51.4,1.4,VW,3926
 Polo,2014,10000,Automatic,14500,Petrol,20,60.1,1.2,VW,40904
 Polo,2017,11499,Manual,9000,Petrol,145,60.1,1.2,VW,40544
 2 Series,2019,20950,Semi-Auto,6418,Petrol,145,47.9,2.0,BMW,29414
 Golf,2017,14490,Semi-Auto,9190,Diesel,150,58.9,1.6,VW,24489
 C Class,2017,21489,Automatic,19878,Diesel,145,67.3,2.1,Mercedes,12072
 C Class,2019,24690,Semi-Auto,15210,Petrol,145,47.1,1.5,Mercedes,4250
 Polo,2017,9120,Manual,40916,Diesel,0,83.1,1.4,VW,22975
 GLE Class,2019,53199,Semi-Auto,2504,Diesel,150,32.8,2.9,Mercedes,14967
 Golf,2020,37500,Semi-Auto,3000,Petrol,150,32.8,2.0,VW,2342
 A1,2014,11950,Manual,28061,Petrol,20,60.1,1.4,Audi,10142
 A1,2014,5990,Manual,78000,Diesel,0,74.3,1.6,Audi,24026
 A4,2019,25050,Semi-Auto,10205,Petrol,145,38.2,2.0,Audi,9523
 A5,2019,23950,Automatic,790,Petrol,145,39.8,2.0,Audi,26690
 A Class,2019,26420,Automatic,4001,Diesel,145,56.5,2.0,Mercedes,28561
 Up,2013,4982,Manual,52000,Petrol,20,60.1,1.0,VW,145
 A Class,2013,10122,Manual,49517,Diesel,20,72.4,1.5,Mercedes,22648
 Passat,2020,30990,Semi-Auto,4765,Diesel,145,48.7,2.0,VW,30018
 5 Series,2019,32490,Automatic,5134,Hybrid,140,156.9,2.0,BMW,35014
 Up,2015,6298,Manual,35653,Petrol,20,60.1,1.0,VW,22725
 GLC Class,2019,31399,Semi-Auto,10254,Diesel,145,41.5,2.1,Mercedes,1110
 Polo,2016,8950,Manual,34593,Petrol,20,60.1,1.0,VW,29526
 C Class,2016,20480,Semi-Auto,20169,Diesel,30,64.2,2.1,Mercedes,17291
 Golf,2016,11495,Manual,26900,Diesel,0,74.3,1.6,VW,32973
 A5,2019,30719,Semi-Auto,4520,Petrol,145,39.8,2.0,Audi,28362
 5 Series,2017,19917,Automatic,31996,Diesel,145,65.7,2.0,BMW,36682
 Q2,2019,19980,Manual,2868,Diesel,145,49.6,1.6,Audi,38465
 Polo,2018,10995,Manual,14641,Petrol,145,60.1,1.2,VW,20185
 Tiguan,2017,19200,Manual,18002,Diesel,150,58.9,0.0,VW,4530
 B Class,2019,22299,Semi-Auto,12480,Petrol,145,45.6,1.3,Mercedes,34147
 A3,2019,21995,Manual,5423,Diesel,145,55.4,2.0,Audi,3974
 A4,2014,9750,Automatic,57800,Diesel,125,58.9,2.0,Audi,13381
 Q5,2018,26490,Semi-Auto,23100,Diesel,145,56.5,2.0,Audi,1827
 A3,2016,12500,Manual,36385,Petrol,125,53.3,1.4,Audi,42847
 Polo,2020,15210,Manual,1001,Petrol,145,47.9,1.0,VW,26208
 Polo,2017,10400,Manual,32577,Petrol,20,60.1,1.2,VW,41842
 Golf,2016,18998,Manual,24868,Petrol,200,39.8,2.0,VW,3534
 T-Roc,2018,20489,Manual,23385,Diesel,145,56.5,2.0,VW,19946
 C Class,2019,23998,Semi-Auto,10357,Diesel,145,61.4,2.0,Mercedes,30458
 A1,2016,13495,Manual,23745,Petrol,30,57.6,1.4,Audi,6946
 A3,2017,15700,Semi-Auto,26598,Petrol,30,58.9,1.4,Audi,30989
 A1,2015,13499,Manual,33769,Petrol,30,55.4,1.4,Audi,12739
 A Class,2016,10691,Manual,65631,Diesel,20,72.4,1.5,Mercedes,27253
 Polo,2017,12290,Semi-Auto,25000,Petrol,145,60.1,1.2,VW,21352
 X5,2018,34995,Automatic,26107,Hybrid,135,85.6,2.0,BMW,34494
 A3,2019,23450,Manual,4705,Diesel,145,51.4,1.6,Audi,34683
 Q2,2019,22990,Semi-Auto,10229,Petrol,145,40.9,1.5,Audi,8430
 X3,2019,36440,Semi-Auto,105,Diesel,145,54.3,2.0,BMW,34478
 Golf,2019,20000,Manual,1000,Diesel,145,57.7,1.6,VW,27098
 Touran,2019,20155,Manual,11145,Diesel,145,51.4,1.6,VW,26984
 X1,2019,26899,Automatic,3980,Diesel,145,60.1,2.0,BMW,3232
 4 Series,2019,25490,Semi-Auto,8794,Diesel,145,60.1,2.0,BMW,41346
 Q7,2019,49490,Automatic,6301,Diesel,145,33.2,3.0,Audi,24667
 1 Series,2015,8869,Manual,62574,Diesel,0,83.1,1.5,BMW,15319
 1 Series,2019,21898,Manual,4100,Petrol,150,41.5,1.5,BMW,440
 A Class,2019,20995,Semi-Auto,5000,Diesel,145,65.7,1.5,Mercedes,4462
 1 Series,2017,16980,Manual,24985,Diesel,145,70.6,1.5,BMW,2299
 A1,2018,14450,Automatic,14655,Petrol,150,64.2,1.0,Audi,27013
 TT,2016,24000,Manual,22353,Petrol,240,38.7,2.0,Audi,22642
 Golf,2019,23999,Semi-Auto,7344,Diesel,150,49.6,2.0,VW,46568
 Sharan,2016,20490,Semi-Auto,11110,Diesel,145,54.3,2.0,VW,3912
 Q7,2019,53900,Semi-Auto,17315,Diesel,145,32.1,3.0,Audi,364
 X2,2020,34990,Semi-Auto,103,Petrol,150,34.0,2.0,BMW,18470
 A Class,2019,34099,Semi-Auto,2700,Petrol,145,35.3,2.0,Mercedes,42470
 C Class,2018,22900,Semi-Auto,23831,Diesel,145,60.1,2.1,Mercedes,3056
 Polo,2017,10032,Manual,34864,Petrol,145,60.1,1.2,VW,5962
 Golf,2019,21998,Semi-Auto,15,Diesel,145,54.3,1.6,VW,28591
 Touareg,2019,39950,Semi-Auto,18145,Diesel,145,34.0,3.0,VW,21
 A Class,2019,21950,Semi-Auto,2151,Diesel,145,56.5,2.0,Mercedes,30237
 A5,2019,30950,Automatic,8955,Diesel,145,44.1,2.0,Audi,3195
 5 Series,2011,11995,Automatic,85896,Diesel,165,50.4,3.0,BMW,4662
 C Class,2019,24389,Semi-Auto,2000,Petrol,145,44.1,1.5,Mercedes,2326
 A3,2017,13500,Manual,30579,Diesel,145,70.6,1.6,Audi,14929
 2 Series,2017,14300,Automatic,7861,Petrol,30,55.4,1.5,BMW,38055
 Golf,2018,16995,Manual,16500,Diesel,145,67.3,2.0,VW,1966
 Tiguan,2015,15499,Automatic,25958,Diesel,155,49.6,2.0,VW,10241
 GLA Class,2015,16250,Automatic,47851,Diesel,125,55.4,2.1,Mercedes,13775
 B Class,2019,24699,Semi-Auto,1583,Petrol,145,44.8,1.3,Mercedes,32227
 X3,2019,53950,Automatic,3512,Petrol,145,24.8,3.0,BMW,22967
 Q2,2018,21995,Manual,9634,Petrol,145,50.4,1.4,Audi,39356
 Q2,2017,16900,Manual,39424,Petrol,145,55.4,1.0,Audi,12900
 A3,2015,9839,Manual,37402,Diesel,20,68.9,2.0,Audi,6259
 1 Series,2016,10799,Manual,37025,Diesel,0,83.1,1.5,BMW,415
 1 Series,2019,17480,Semi-Auto,3583,Petrol,145,55.5,1.5,BMW,19771
 3 Series,2019,22780,Semi-Auto,11944,Petrol,145,44.8,2.0,BMW,29355
 Golf,2016,19998,Semi-Auto,37482,Petrol,200,39.8,2.0,VW,2357
 Tiguan,2016,17495,Automatic,35710,Other,165,49.6,2.0,VW,29154
 Up,2020,10200,Manual,10,Petrol,145,54.3,1.0,VW,8971
 X1,2019,23975,Manual,6907,Diesel,145,68.9,2.0,BMW,18177
 Q5,2016,17499,Manual,36781,Diesel,160,50.4,2.0,Audi,34103
 A3,2017,24290,Automatic,37091,Petrol,150,43.5,2.0,Audi,12580
 C Class,2015,18000,Semi-Auto,28807,Diesel,125,60.1,2.1,Mercedes,1507
 T-Cross,2019,17499,Manual,5000,Petrol,145,48.7,1.0,VW,10405
 Q5,2014,19999,Automatic,37459,Petrol,260,35.8,2.0,Audi,31771
 A Class,2017,16500,Manual,27000,Petrol,125,51.4,1.6,Mercedes,27516
 GLA Class,2017,19480,Semi-Auto,26850,Diesel,150,58.9,2.1,Mercedes,39981
 A1,2015,11999,Manual,25936,Diesel,0,80.7,1.6,Audi,5618
 5 Series,2016,19998,Semi-Auto,16555,Diesel,160,51.4,2.0,BMW,35859
 X5,2019,46740,Automatic,4399,Diesel,145,37.7,3.0,BMW,29843
 Golf,2014,10290,Semi-Auto,36227,Petrol,30,56.5,1.4,VW,31072
 Golf,2016,11290,Manual,24907,Petrol,30,53.3,1.4,VW,35385
 GLE Class,2015,44176,Automatic,13340,Petrol,570,23.9,5.5,Mercedes,25995
 Q3,2017,21200,Semi-Auto,16781,Petrol,145,47.9,1.4,Audi,27399
 A4,2016,13295,Automatic,44660,Diesel,0,72.4,2.0,Audi,11321
 1 Series,2019,23990,Manual,10,Petrol,145,44.1,1.5,BMW,27915
 CL Class,2016,14399,Manual,45693,Diesel,20,65.7,2.1,Mercedes,18542
 Golf,2019,25995,Semi-Auto,4626,Petrol,150,37.7,2.0,VW,24891
 Polo,2019,15400,Manual,2500,Petrol,145,52.3,1.0,VW,31657
 2 Series,2016,15199,Automatic,66543,Diesel,145,55.4,2.0,BMW,40297
 3 Series,2013,12298,Semi-Auto,73845,Diesel,145,54.3,3.0,BMW,43385
 C Class,2015,16490,Automatic,37000,Diesel,30,64.2,2.1,Mercedes,22771
 X5,2019,58898,Semi-Auto,100,Diesel,150,37.7,3.0,BMW,6808
 X3,2017,29980,Semi-Auto,25101,Diesel,150,47.9,3.0,BMW,27640
 3 Series,2016,12300,Manual,32759,Diesel,20,72.4,2.0,BMW,34189
 A1,2016,15900,Semi-Auto,29753,Petrol,30,56.5,1.4,Audi,44324
 TT,2019,27990,Semi-Auto,1266,Petrol,145,40.9,2.0,Audi,6412
 2 Series,2016,11000,Manual,79060,Diesel,30,64.2,2.0,BMW,34115
 Passat,2020,21998,Semi-Auto,12,Diesel,145,49.6,1.6,VW,20598
 1 Series,2013,9950,Automatic,62000,Diesel,30,64.2,2.0,BMW,31190
 Golf,2016,10998,Manual,32240,Diesel,0,74.3,1.6,VW,45272
 Golf,2018,15189,Manual,36320,Diesel,145,61.4,1.6,VW,5857
 E Class,2017,20099,Semi-Auto,38566,Diesel,145,61.4,2.0,Mercedes,4282
 Q3,2015,12399,Manual,56960,Diesel,30,61.4,2.0,Audi,26995
 C Class,2019,25999,Semi-Auto,13269,Diesel,145,61.4,2.0,Mercedes,9595
 A4,2018,19495,Semi-Auto,15061,Petrol,145,51.4,1.4,Audi,22969
 X2,2019,34368,Automatic,123,Petrol,145,34.0,2.0,BMW,20852
 Tiguan,2017,18872,Semi-Auto,29417,Diesel,145,49.6,2.0,VW,4343
 C Class,2019,35299,Semi-Auto,100,Diesel,145,55.4,2.0,Mercedes,33938
 A3,2014,8400,Manual,55210,Diesel,0,74.3,1.6,Audi,42897
 1 Series,2017,21988,Manual,10417,Petrol,145,36.2,3.0,BMW,33913
 3 Series,2019,25480,Automatic,9839,Diesel,145,57.7,2.0,BMW,2734
 3 Series,2019,31990,Semi-Auto,6313,Petrol,150,41.5,2.0,BMW,46059
 A3,2016,14500,Manual,34728,Petrol,30,57.6,1.4,Audi,24390
 2 Series,2016,21995,Semi-Auto,22642,Petrol,260,35.8,3.0,BMW,7539
 Q3,2014,18799,Semi-Auto,33650,Petrol,260,36.7,2.0,Audi,9690
 T-Roc,2019,25995,Semi-Auto,5250,Petrol,150,39.8,1.5,VW,1681
 GLA Class,2016,16200,Automatic,40584,Diesel,125,56.5,2.1,Mercedes,25893
 C Class,2020,33800,Semi-Auto,2406,Petrol,145,47.1,1.5,Mercedes,3564
 Q2,2017,19995,Manual,29000,Petrol,150,49.6,1.4,Audi,34238
 X5,2016,25449,Automatic,46683,Diesel,200,47.1,3.0,BMW,23511
 Passat,2020,25690,Semi-Auto,4997,Diesel,145,53.3,2.0,VW,39668
 B Class,2017,14799,Automatic,30431,Diesel,20,68.9,2.1,Mercedes,22124
 Polo,2017,11495,Manual,12982,Petrol,20,60.1,1.2,VW,32592
 C Class,2019,30845,Automatic,2065,Diesel,145,64.2,2.0,Mercedes,9415
 Q3,2020,29980,Manual,6840,Petrol,145,39.8,1.5,Audi,22590
 Tiguan,2019,23750,Manual,2957,Diesel,145,47.9,2.0,VW,43299
 2 Series,2017,13990,Semi-Auto,18847,Petrol,150,55.4,1.5,BMW,24979
 Golf,2019,28620,Automatic,7865,Petrol,145,32.8,2.0,VW,19198
 GLA Class,2019,23299,Semi-Auto,15375,Diesel,145,67.3,2.1,Mercedes,17135
 C Class,2017,18801,Semi-Auto,14812,Diesel,145,64.2,1.6,Mercedes,2636
 T-Cross,2019,17000,Manual,2999,Petrol,145,48.7,1.0,VW,34890
 3 Series,2012,11490,Automatic,89977,Diesel,125,60.1,2.0,BMW,46716
 C Class,2019,24433,Automatic,2326,Petrol,145,46.3,1.5,Mercedes,27424
 Golf,2019,20998,Manual,10,Diesel,150,62.8,2.0,VW,37099
 Golf,2017,17999,Manual,17519,Diesel,20,67.3,2.0,VW,43060
 Q7,2016,32750,Semi-Auto,41638,Diesel,200,47.9,3.0,Audi,36760
 Golf,2019,19498,Manual,10,Diesel,145,55.4,2.0,VW,11653
 C Class,2017,14488,Automatic,66472,Diesel,30,64.2,2.1,Mercedes,1832
 3 Series,2016,18995,Automatic,23110,Diesel,125,57.6,2.0,BMW,12528
 A6,2017,21195,Semi-Auto,32000,Diesel,145,61.4,2.0,Audi,39965
 C Class,2015,13990,Automatic,67000,Diesel,30,61.4,2.1,Mercedes,8195
 B Class,2014,9499,Automatic,63878,Diesel,30,60.1,1.8,Mercedes,26024
 A6,2018,28498,Semi-Auto,8602,Diesel,145,50.4,2.0,Audi,2350
 Arteon,2019,23990,Semi-Auto,4340,Petrol,145,40.4,1.5,VW,25640
 A1,2016,12298,Manual,30001,Petrol,30,56.5,1.4,Audi,20804
 GLA Class,2014,15498,Semi-Auto,53000,Diesel,145,55.4,2.1,Mercedes,17836
 3 Series,2019,37980,Semi-Auto,5470,Petrol,145,34.9,3.0,BMW,3225
 Golf,2019,20990,Manual,3119,Petrol,145,47.9,1.5,VW,34433
 A Class,2020,25980,Manual,385,Petrol,145,44.1,1.3,Mercedes,23759
 4 Series,2020,25980,Manual,14,Petrol,145,46.3,2.0,BMW,15503
 C Class,2020,33469,Semi-Auto,1000,Diesel,145,54.3,1.6,Mercedes,2994
 Golf,2016,15887,Manual,25357,Diesel,20,67.3,2.0,VW,38827
 Polo,2020,13685,Manual,1551,Petrol,150,48.7,1.0,VW,34385
 X2,2019,25526,Semi-Auto,5161,Diesel,145,61.4,2.0,BMW,22092
 Tiguan,2017,16891,Semi-Auto,34095,Diesel,150,49.6,2.0,VW,44625
 Golf,2016,13890,Manual,55069,Diesel,20,67.3,2.0,VW,31598
 A6,2019,30861,Automatic,1000,Diesel,145,47.9,2.0,Audi,27636
 A Class,2019,36412,Semi-Auto,100,Petrol,145,35.3,2.0,Mercedes,34708
 Polo,2014,6765,Manual,52304,Petrol,20,60.1,1.0,VW,21028
 C Class,2019,25499,Semi-Auto,15414,Diesel,145,61.4,2.0,Mercedes,6538
 Tiguan,2017,22991,Manual,18713,Diesel,150,58.9,2.0,VW,6837
 Polo,2019,16490,Manual,5307,Petrol,150,49.6,1.0,VW,14432
 Q3,2019,30790,Semi-Auto,6521,Petrol,145,31.7,2.0,Audi,38835
 GLA Class,2017,20799,Semi-Auto,15368,Diesel,145,56.5,2.1,Mercedes,32874
 1 Series,2010,6275,Manual,60000,Diesel,125,60.1,2.0,BMW,5701
 Golf,2019,16064,Manual,9618,Diesel,145,57.7,1.6,VW,10802
 Golf,2017,11995,Automatic,47000,Diesel,20,58.9,1.6,VW,24497
 Tiguan,2017,17922,Manual,13272,Diesel,150,58.9,2.0,VW,5205
 A Class,2017,14700,Semi-Auto,56387,Diesel,20,68.9,2.1,Mercedes,34741
 A4,2016,15990,Manual,30625,Diesel,30,67.3,2.0,Audi,32231
 GLC Class,2018,26995,Semi-Auto,20696,Diesel,150,56.5,2.1,Mercedes,27020
 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0,BMW,29264
 Tiguan,2018,22491,Semi-Auto,25576,Diesel,150,57.6,2.0,VW,9394
 Polo,2017,9499,Manual,26134,Petrol,20,60.1,1.0,VW,36967
 Golf,2017,13491,Manual,79263,Diesel,145,60.1,2.0,VW,9599
 3 Series,2020,35995,Semi-Auto,1501,Diesel,145,47.9,3.0,BMW,19535
 A4,2019,26990,Automatic,2898,Petrol,145,39.8,2.0,Audi,22163
 Polo,2018,12995,Manual,7997,Petrol,145,58.9,1.0,VW,26235
 X5,2017,57990,Automatic,10,Diesel,145,42.8,3.0,BMW,33010
 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5,BMW,28720
 Tiguan,2017,14990,Semi-Auto,23319,Diesel,165,49.6,2.0,VW,6260
 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2.0,BMW,1599
 4 Series,2019,24480,Automatic,3106,Diesel,145,65.7,2.0,BMW,16298
 Arteon,2017,18980,Semi-Auto,33915,Petrol,145,47.1,2.0,VW,29099
 E Class,2019,41550,Automatic,159,Petrol,145,31.7,3.0,Mercedes,42483
 T-Roc,2018,16999,Manual,14058,Petrol,145,44.1,1.0,VW,16004
 Golf,2017,13221,Manual,27250,Diesel,150,72.4,1.6,VW,42359
 5 Series,2019,26480,Semi-Auto,5130,Diesel,145,65.7,2.0,BMW,17653
 A Class,2015,18495,Manual,12498,Petrol,200,41.5,2.0,Mercedes,24730
 E Class,2019,33680,Semi-Auto,9854,Petrol,145,40.4,2.0,Mercedes,43940
 4 Series,2019,28995,Semi-Auto,10000,Diesel,145,65.7,2.0,BMW,3596
 E Class,2019,28449,Semi-Auto,12778,Diesel,145,58.9,2.0,Mercedes,9193
 Passat,2018,15999,Manual,12000,Petrol,145,53.3,1.4,VW,35258
 Golf,2019,14490,Manual,15405,Diesel,145,57.7,1.6,VW,17519
 Polo,2017,11390,Manual,20000,Petrol,150,60.1,1.2,VW,5254
 Polo,2016,8998,Manual,21438,Petrol,20,58.9,1.0,VW,44772
 A5,2017,21595,Automatic,31777,Diesel,30,65.7,2.0,Audi,20750
 Golf,2014,7298,Manual,58791,Petrol,30,57.6,1.2,VW,14498
 X1,2017,19490,Automatic,19090,Diesel,145,65.7,2.0,BMW,21486
